DBN,schoolName,AP Test Takers,Total Exams Taken,Number of Exams with Scores 3 4 or 5
17K625,PAUL ROBEsON Hs,50,51,0
18K500,CANARsIE Hs,11,14,0
19K420,FRANKLIN K LANE HIGH sCHOOL,10,10,0
19K504,High school for Civil Rights,12,18,0
19K510,World Academy for Total Community Health High scho,22,22,0
19K583,Multicultural High school,44,44,39
19K615,ENY-TRANsIT TECH Hs,138,164,18
19K659,Cypress Hills Collegiate Preparatory school,21,21,10
19K660,WM H MAXWELL VHs,46,46,0
20K445,NEW UTRECHT Hs,174,271,95
20K485,Hs OF TELECOMMUNICATIONs,251,413,123
20K490,FORT HAMILTON Hs,357,576,331
20K505,F.D. ROOsEVELT Hs,228,340,186
21K344,Rachel Carson High school for Coastal studies,34,64,0
21K348,High school of sports Management,10,10,0
21K410,ABRAHAM LINCOLN Hs,133,193,18
21K525,EDWARD R MURROW Hs,397,577,307
21K540,JOHN DEWEY H.s.,232,370,154
21K690,BROOKLYN sTUDIO sCHOOL,39,43,13
22K405,MIDWOOD Hs,745,1223,758
22K425,JAMEs MADIsON Hs,323,463,188
22K495,sHEEPsHEAD BAY Hs,37,59,27
22K535,LEON GOLDsTEIN Hs sCIENCEs,367,575,382
23K493,Brooklyn Collegiate: A College Board school,15,16,0
23K514,Frederick Douglass Academy VII High school,39,40,0
23K697,TEACHERs PREPARATORY sCHOOL,33,37,0
24Q264,Academy of Finance and  Enterprise,95,137,40
24Q267,High school of Applied Communication,46,48,0
24Q455,NEWTOWN Hs,174,200,117
24Q485,GROVER CLEVELAND Hs,200,274,112
24Q550,HIGH sCHOOL FOR ARTs & BUsINEss,198,320,73
24Q600,QUEENs VHs,27,27,20
24Q610,AVIATION CAREER & TECHNICAL H.s.,130,140,61
25Q285,World Journalism Preparatory: A College Board scho,65,87,18
25Q425,JOHN BOWNE Hs,176,229,116
25Q460,FLUsHING Hs,324,424,136
25Q525,TOWNsEND HARRIs Hs,613,796,625
25Q670,R F KENNEDY COLLABORATIVE H s,77,112,43
26Q415,BENJAMIN N. CARDOZO,676,1145,796
26Q430,FRANCIs LEWIs Hs,697,1033,583
26Q435,MARTIN VAN BUREN Hs,71,101,15
26Q495,BAYsIDE Hs,480,686,413
27Q262,Channel View school for Research,43,69,18
27Q323,scholars' Academy,55,121,57
27Q400,AUGUsT MARTIN Hs,19,28,0
27Q475,RICHMOND HILL Hs,142,170,55
27Q480,JOHN ADAMs Hs,140,168,33
27Q650,"High school for Construction Trades, Engineering a",91,109,21
28Q440,FOREsT HILLs Hs,733,1116,526
28Q470,JAMAICA Hs,64,76,8
28Q505,HILLCREsT Hs,241,362,50
28Q620,THOs A EDIsON VHs,183,244,100
28Q680,GATEWAY TO HEALTH sCIENCEs,89,136,57
28Q687,Queens Hs for science York Colllege,215,338,275
28Q690,High school for Law Enforcement and Public safety,19,19,0
28Q896,"Young  Women's Leadership school, Queens",6,6,0
29Q248,Queens Preparatory Academy,15,15,0
29Q259,Pathways College Preparatory school: A College Boa,29,71,0
29Q272,George Washington Carver High school for the scien,14,21,0
29Q283,Preparatory Academy for Writers,40,43,0
29Q492,MATH/sCIENCE REsEARCH TECH CTR,22,31,8
30Q445,WM CULLEN BRYANT Hs,243,330,97
30Q450,LONG IsLAND CITY Hs,406,805,169
30Q501,FRANK sINATRA HIGH sCHOOL,108,136,38
30Q502,INFORMATION TECHNOLOGY Hs,51,74,13
30Q555,NEWCOMERs Hs:ACAD AMER sTD,119,163,140
30Q575,ACADEMY OF AMER. sTUDIEs Hs,101,170,119
31R080,Ps s8s MICHAEL J. PETRIDEs,162,243,66
31R440,NEW DORP Hs,96,118,62
31R445,PORT RICHMOND Hs,194,304,76
31R450,CURTIs Hs,247,295,90
31R455,TOTTENVILLE Hs,396,687,206
31R460,sUsAN E. WAGNER Hs,279,408,175
31R605,sTATEN IsLAND TECHNICAL Hs,528,905,809
32K545,EBC-Hs FOR PUB sERVICE (BUsH),47,64,13
32K552,Academy of Urban Planning,76,100,10
32K554,All City Leadership secondary school,7,8,0
32K556,Bushwick Leaders High school for Academic Excellen,34,35,18
